True,11,17,59,111759.000,5134.4025,N,00106.9727,W,6,88.0,1.4
True,11,25,11,112512.000,5134.5907,N,00107.1756,W,9,83.9,1.01
True,11,28,34,112834.000,5134.6977,N,00107.1856,W,10,43.7,0.98
True,11,31,16,113116.000,5134.7507,N,00107.2010,W,10,45.6,0.9400001
True,11,32,32,113232.000,5134.7550,N,00107.1820,W,10,43.4,0.9400001
True,11,33,13,113313.000,5134.7568,N,00107.1860,W,9,42.8,1.01
True,11,33,18,113318.000,5134.7566,N,00107.1860,W,9,42.8,1.01
True,11,35,29,113529.000,5134.7717,N,00107.2614,W,9,41.9,1.01
True,11,37,15,113715.000,5134.6827,N,00107.2439,W,9,38.5,1.0
True,11,39,40,113940.000,5134.6045,N,00107.2564,W,9,41.2,1.0
True,11,40,18,114018.000,5134.6039,N,00107.2581,W,9,41.3,1.01
True,11,41,29,114129.000,5134.6059,N,00107.3026,W,10,36.2,0.92
True,11,44,19,114419.000,5134.7234,N,00107.3323,W,10,35.2,0.95
True,11,47,14,114714.000,5134.7220,N,00107.3362,W,10,37.5,0.91
True,11,48,51,114851.000,5134.7835,N,00107.4272,W,10,43.4,0.9400001
True,11,49,52,114951.000,5134.7831,N,00107.4221,W,10,42.1,0.9400001
True,11,52,22,115222.000,5134.7597,N,00107.4391,W,10,39.6,0.91
True,11,54,18,115418.000,5134.6645,N,00107.4231,W,10,34.9,0.9
True,11,56,35,115635.000,5134.6190,N,00107.4165,W,11,34.9,0.82
True,11,59,16,115916.000,5134.5337,N,00107.4110,W,11,37.9,0.82
True,12,0,5,120005.000,5134.5313,N,00107.4101,W,11,39.0,0.82
True,12,2,36,120236.000,5134.5416,N,00107.4841,W,10,36.8,0.8900001
True,12,5,40,120539.000,5134.6714,N,00107.4849,W,11,31.6,0.82
True,12,11,1,121101.000,5134.7922,N,00107.4700,W,11,32.4,0.81
True,12,25,52,122552.000,5134.7938,N,00107.2116,W,12,38.4,0.75
True,12,28,5,122805.000,5134.7349,N,00107.1078,W,12,34.8,0.75
True,12,28,48,122848.000,5134.7006,N,00107.1061,W,12,39.5,0.75
True,12,29,38,122937.000,5134.6930,N,00107.1055,W,12,39.3,0.75
True,12,32,9,123208.000,5134.6178,N,00107.0752,W,12,40.5,0.75
True,12,33,59,123358.000,5134.5590,N,00107.0639,W,11,41.5,0.82
